20231101,10000,1
20231101,20000,1
20231101,30000,1
20231101,40000,1
20231101,50000,1
20231101,60000,1
20231101,70000,1
20231101,80000,1
20231109,90000,1
20231110,100000,1
20231111,110000,2
20231112,120000,2
20231113,130000,2
20231114,140000,2
20231115,150000,2
20231116,160000,2
20231117,170000,2
20231118,180000,2
20231119,190000,2
20231120,200000,2
20231121,210000,3
20231122,220000,3
20231123,230000,3
20231124,240000,3
20231125,250000,3
20231126,260000,3
20231127,270000,3
20231128,280000,3
20231129,290000,3
20231130,300000,3
